	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	featurereclamate	nodisplayinfo	permanent
Corpses\arm_heaps.armmart_heap	All Worlds	Wreckage	heaps		3	3	4						100	106	420		tree1reclamate													1				0		2x2e		smudge01		
Corpses\arm_heaps.armmerl_heap	All Worlds	Wreckage	heaps		3	3	4						100	185	432		tree1reclamate													1				0		3x3f		smudge01		
Corpses\arm_heaps.armmex_heap	All Worlds	Wreckage	heaps		3	3	4						100	20	1700		tree1reclamate													1				0		3x3b		smudge01		
Corpses\arm_heaps.armmoho_heap	All Worlds	Wreckage	heaps		5	5	4						100	603	1258		tree1reclamate													1				0		5x5a		smudge01		
Corpses\arm_heaps.armmstor_heap	All Worlds	Wreckage	heaps		4	4	4						100	122	1063		tree1reclamate													1				0		4x4e		smudge01		
Corpses\arm_heaps.armpeep_heap	All Worlds	Wreckage	heaps		2	2	4						100	19	64		tree1reclamate													1				0		2x2d		smudge01		
Corpses\arm_heaps.armpnix_heap	All Worlds	Wreckage	heaps		2	2	4						100	80	240		tree1reclamate													1				0		2x2e		smudge01		
Corpses\arm_heaps.armpw_heap	All Worlds	Wreckage	heaps		2	2	4						100	21	200		tree1reclamate													1				0		2x2f		smudge01		
Corpses\arm_heaps.armrad_heap	All Worlds	Wreckage	heaps		2	2	4						100	7	41		tree1reclamate													1				0		2x2a		smudge01		
Corpses\arm_heaps.armrl_heap	All Worlds	Wreckage	heaps		3	3	4						100	32	236		tree1reclamate													1				0		3x3c		smudge01		
Corpses\arm_heaps.armrock_heap	All Worlds	Wreckage	heaps		2	2	4						100	52	576		tree1reclamate													1				0		2x2b		smudge01		
Corpses\arm_heaps.armsam_heap	All Worlds	Wreckage	heaps		3	3	4						100	57	739		tree1reclamate													1				0		3x3d		smudge01		
Corpses\arm_heaps.armseer_heap	All Worlds	Wreckage	heaps		3	3	4						100	34	384		tree1reclamate													1				0		3x3e		smudge01		
Corpses\arm_heaps.armsilo_heap	All Worlds	Wreckage	heaps		3	3	4						100	1367	1840		tree1reclamate													1				0		3x3f		smudge01		
Corpses\arm_heaps.armsolar_heap	All Worlds	Wreckage	heaps		5	5	4						100	58	261		tree1reclamate													1				0		5x5b		smudge01		
Corpses\arm_heaps.armspid_heap	All Worlds	Wreckage	heaps		3	3	4						100	92	360		tree1reclamate													1				0		3x3a		smudge01		
Corpses\arm_heaps.armstump_heap	All Worlds	Wreckage	heaps		2	2	4						100	66	794		tree1reclamate													1				0		2x2d		smudge01		
Corpses\arm_heaps.armthund_heap	All Worlds	Wreckage	heaps		3	3	4						100	80	240		tree1reclamate													1				0		3x3d		smudge01		
Corpses\arm_heaps.armvader_heap	All Worlds	Wreckage	heaps		1	1	4						100	362	148		tree1reclamate													1				0		1x1b		smudge01		
Corpses\arm_heaps.armvp_heap	All Worlds	Wreckage	heaps		6	6	4						100	248	2064		tree1reclamate													1				0		6x6a		smudge01		
Corpses\arm_heaps.armwin_heap	All Worlds	Wreckage	heaps		4	4	4						100	21	141		tree1reclamate													1				0		4x4a		smudge01		
Corpses\arm_heaps.armzeus_heap	All Worlds	Wreckage	heaps		2	2	4						100	107	700		tree1reclamate													1				0		2x2e		smudge01		
Corpses\core_corpses.coraap_dead	All Worlds	Wreckage	core_corpses		7	6	20						100	1753	1760		tree1reclamate											coraap_heap		1				1		coraap_dead		smudge01		
Corpses\core_corpses.coraca_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	185	296		tree1reclamate											coraca_heap		1				1		coraca_dead		smudge01		
Corpses\core_corpses.corack_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	260	856		tree1reclamate											corack_heap		1				1		corack_dead		smudge01		
Corpses\core_corpses.coracv_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	364	976		tree1reclamate											coracv_heap		1				1		coracv_dead		smudge01		
Corpses\core_corpses.corak_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	45	212		tree1reclamate											corak_heap		1				1		corak_dead		smudge01		
Corpses\core_corpses.coralab_dead	All Worlds	Wreckage	core_corpses		5	6	20						100	1578	2536		tree1reclamate											coralab_heap		1				1		coralab_dead		smudge01		
Corpses\core_corpses.corap_dead	All Worlds	Wreckage	core_corpses		7	6	20						100	664	1540		tree1reclamate											corap_heap		1				1		corap_dead		smudge01		
Corpses\core_corpses.corape_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	287	960		tree1reclamate											corape_heap		1				1		corape_dead		smudge01		
Corpses\core_corpses.corarad_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	34	40		tree1reclamate											corarad_heap		1				1		corarad_dead		smudge01		
Corpses\core_corpses.corasp_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	344	552		tree1reclamate											corasp_heap		1				1		corasp_dead		smudge01		
Corpses\core_corpses.corasy_dead	All Worlds	Wreckage	core_corpses		7	7	4						100	1968	24000		tree1reclamate													1				0		corasy_dead		smudge01		
Corpses\core_corpses.coravp_dead	All Worlds	Wreckage	core_corpses		6	6	20						100	1558	2060		tree1reclamate											coravp_heap		1				1		coravp_dead		smudge01		
Corpses\core_corpses.corbats_dead	All Worlds	Wreckage	core_corpses		6	6	4						100	3345	24000		tree1reclamate													1				0		corbats_dead		smudge01		
Corpses\core_corpses.corbuild_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	3345	24000		tree1reclamate											corbuild_heap		1				0		corbuild_dead		smudge01		
Corpses\core_corpses.corcan_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	336	2240		tree1reclamate											corcan_heap		1				1		corcan_dead		smudge01		
Corpses\core_corpses.corcarry_dead	All Worlds	Wreckage	core_corpses		2	2	4						100	1103	24000		tree1reclamate													1				1		corcarry_dead		smudge01		
Corpses\core_corpses.corck_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	104	568		tree1reclamate											corck_heap		1				1		corck_dead		smudge01		
Corpses\core_corpses.corcrash_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	113	496		tree1reclamate											corcrash_heap		1				1		corcrash_dead		smudge01		
Corpses\core_corpses.corcrus_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	1379	24000		tree1reclamate													1				0		corcrus_dead		smudge01		
Corpses\core_corpses.corcs_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	208	24000		tree1reclamate													1				0		corcs_dead		smudge01		
Corpses\core_corpses.corcv_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	140	660		tree1reclamate											corcv_heap		1				1		corcv_dead		smudge01		
Corpses\core_corpses.cordoom_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	1712	2512		tree1reclamate											cordoom_heap		1				1		cordoom_dead		smudge01		
Corpses\core_corpses.corestor_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	200	856		tree1reclamate											corestor_heap		1				1		corestor_dead		smudge01		
Corpses\core_corpses.coreter_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	80	416		tree1reclamate											coreter_heap		1				1		coreter_dead		smudge01		
Corpses\core_corpses.corfav_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	30	67		tree1reclamate											corfav_heap		1				1		corfav_dead		smudge01		
Corpses\core_corpses.corfink_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	42	72		tree1reclamate											corfink_heap		1				1		corfink_dead		smudge01		
Corpses\core_corpses.corfmd_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	991	624		tree1reclamate											corfmd_heap		1				1		corfmd_dead		smudge01		
Corpses\core_corpses.corfus_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	4003	2400		tree1reclamate											corfus_heap		1				1		corfus_dead		smudge01		
Corpses\core_corpses.corgate_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	157988	1975		tree1reclamate											corgate_heap		1				1		corgate_dead		smudge01		
Corpses\core_corpses.corgator_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	88	522		tree1reclamate											corgator_heap		1				1		corgator_dead		smudge01		
Corpses\core_corpses.corgeo_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	404	744		tree1reclamate											corgeo_heap		1				1		corgeo_dead		smudge01		
Corpses\core_corpses.corgol_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	558	2276		tree1reclamate											corgol_heap		1				1		corgol_dead		smudge01		
Corpses\core_corpses.corhlt_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	471	950		tree1reclamate											corhlt_heap		1				1		corhlt_dead		smudge01		
Corpses\core_corpses.corhurc_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	161	240		tree1reclamate											corhurc_heap		1				1		corhurc_dead		smudge01		
Corpses\core_corpses.corint_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	4267	1520		tree1reclamate											corint_heap		1				1		corint_dead		smudge01		
Corpses\core_corpses.corlab_dead	All Worlds	Wreckage	core_corpses		6	6	20						100	544	2080		tree1reclamate											corlab_heap		1				1		corlab_dead		smudge01		
Corpses\core_corpses.corllt_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	214	568		tree1reclamate											corllt_heap		1				1		corllt_dead		smudge01		
Corpses\core_corpses.cormakr_dead	All Worlds	Wreckage	core_corpses		4	3	20						100	0	120		tree1reclamate											cormakr_heap		1				1		cormakr_dead		smudge01		
Corpses\core_corpses.cormart_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	201	480		tree1reclamate											cormart_heap		1				1		cormart_dead		smudge01		
Corpses\core_corpses.cormex_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	41	140		tree1reclamate											cormex_heap		1				1		cormex_dead		smudge01		
Corpses\core_corpses.cormist_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	114	794		tree1reclamate											cormist_heap		1				1		cormist_dead		smudge01		
Corpses\core_corpses.cormoho_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	1160	1172		tree1reclamate											cormoho_heap		1				1		cormoho_dead		smudge01		
Corpses\core_corpses.cormship_dead	All Worlds	Wreckage	core_corpses		6	6	4						100	1826	24000		tree1reclamate													1				0		cormship_dead		smudge01		
Corpses\core_corpses.cormstor_dead	All Worlds	Wreckage	core_corpses		5	5	20						100	256	1045		tree1reclamate											cormstor_heap		1				1		cormstor_dead		smudge01		
Corpses\core_corpses.corpt_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	76	24000		tree1reclamate													1				0		corpt_dead		smudge01		
Corpses\core_corpses.corpun_dead	All Worlds	Wreckage	core_corpses		4	3	20						100	1510	2352		tree1reclamate											corpun_heap		1				1		corpun_dead		smudge01		
Corpses\core_corpses.corpyro_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	208	560		tree1reclamate											corpyro_heap		1				1		corpyro_dead		smudge01		
Corpses\core_corpses.corrad_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	15	41		tree1reclamate											corrad_heap		1				1		corrad_dead		smudge01		
Corpses\core_corpses.corraid_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	135	846		tree1reclamate											corraid_heap		1				1		corraid_dead		smudge01		
Corpses\core_corpses.correap_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	378	1611		tree1reclamate											correap_heap		1				1		correap_dead		smudge01		
Corpses\core_corpses.corrl_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	62	240		tree1reclamate											corrl_heap		1				1		corrl_dead		smudge01		
Corpses\core_corpses.corroach_dead	All Worlds	Wreckage	core_corpses		1	1	20						100	52	156		tree1reclamate											corroach_heap		1				1		corroach_dead		smudge01		
Corpses\core_corpses.corroy_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	710	24000		tree1reclamate													1				0		corroy_dead		smudge01		
Corpses\core_corpses.corseal_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	236	915		tree1reclamate											corseal_heap		1				1		corseal_dead		smudge01		
Corpses\core_corpses.corshad_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	161	240		tree1reclamate											corshad_heap		1				1		corshad_dead		smudge01		
Corpses\core_corpses.corshark_dead	All Worlds	Wreckage	core_corpses		6	6	4						100	1085	221		tree1reclamate													1				0		corshark_dead		smudge01		
Corpses\core_corpses.corsilo_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	780	2048		tree1reclamate											corsilo_heap		1				1		corsilo_dead		smudge01		
Corpses\core_corpses.corsolar_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	116	261		tree1reclamate											corsolar_heap		1				1		corsolar_dead		smudge01		
Corpses\core_corpses.corsonar_dead	All Worlds	Wreckage	core_corpses		2	2	4						100	16	24000		tree1reclamate													1				0		corsonar_dead		smudge01		
Corpses\core_corpses.corspec_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	48	144		tree1reclamate											corspec_heap		1				1		corspec_dead		smudge01		
Corpses\core_corpses.corstorm_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	103	592		tree1reclamate											corstorm_heap		1				1		corstorm_dead		smudge01		
Corpses\core_corpses.corsub_dead	All Worlds	Wreckage	core_corpses		4	4	4						100	903	24000		tree1reclamate													1				0		corsub_dead		smudge01		
Corpses\core_corpses.corsy_dead	All Worlds	Wreckage	core_corpses		7	7	4						100	480	24000		tree1reclamate													1				0		corsy_dead		smudge01		
Corpses\core_corpses.corthud_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	118	640		tree1reclamate											corthud_heap		1				1		corthud_dead		smudge01		
Corpses\core_corpses.cortide_dead	All Worlds	Wreckage	core_corpses		4	4	4						100	65	24000		tree1reclamate													1				0		cortide_dead		smudge01		
Corpses\core_corpses.cortitan_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	126	160		tree1reclamate											cortitan_heap		1				1		cortitan_dead		smudge01		
Corpses\core_corpses.cortl_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	745	24000		tree1reclamate													1				0		cortl_dead		smudge01		
Corpses\core_corpses.cortruck_dead	All Worlds	Wreckage	core_corpses		2	2	4						100	710	24000		tree1reclamate											cortruck_heap		1				0		cortruck_dead		smudge01		
Corpses\core_corpses.cortship_dead	All Worlds	Wreckage	core_corpses		5	5	4						100	710	24000		tree1reclamate													1				0		cortship_dead		smudge01		
Corpses\core_corpses.corvalk_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	95	120		tree1reclamate											corvalk_heap		1				1		corvalk_dead		smudge01		
Corpses\core_corpses.corvamp_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	174	400		tree1reclamate											corvamp_heap		1				1		corvamp_dead		smudge01		
Corpses\core_corpses.corveng_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	126	160		tree1reclamate											corveng_heap		1				1		corveng_dead		smudge01		
Corpses\core_corpses.corvp_dead	All Worlds	Wreckage	core_corpses		7	7	20						100	480	2040		tree1reclamate											corvp_heap		1				1		corvp_dead		smudge01		
Corpses\core_corpses.corvrad_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	72	400		tree1reclamate											corvrad_heap		1				1		corvrad_dead		smudge01		
Corpses\core_corpses.corvroc_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	342	482		tree1reclamate											corvroc_heap		1				1		corvroc_dead		smudge01		
Corpses\core_corpses.corwin_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	44	1430		tree1reclamate											corwin_heap		1				1		corwin_dead		smudge01		
Corpses\core_heaps.coraap_heap	All Worlds	Wreckage	heaps		6	6	4						100	876	1760		tree1reclamate													1				0		6x6a		smudge01		
Corpses\core_heaps.coraca_heap	All Worlds	Wreckage	heaps		2	2	4						100	92	296		tree1reclamate													1				0		2x2a		smudge01		
Corpses\core_heaps.corack_heap	All Worlds	Wreckage	heaps		2	2	4						100	130	856		tree1reclamate													1				0		2x2b		smudge01		
Corpses\core_heaps.coracv_heap	All Worlds	Wreckage	heaps		3	3	4						100	182	976		tree1reclamate													1				0		3x3a		smudge01		
Corpses\core_heaps.corak_heap	All Worlds	Wreckage	heaps		2	2	4						100	22	212		tree1reclamate													1				0		2x2c		smudge01		
Corpses\core_heaps.coralab_heap	All Worlds	Wreckage	heaps		5	5	4						100	789	2536		tree1reclamate													1				0		5x5a		smudge01		
Corpses\core_heaps.corap_heap	All Worlds	Wreckage	heaps		6	6	4						100	332	1540		tree1reclamate													1				0		6x6b		smudge01		
Corpses\core_heaps.corape_heap	All Worlds	Wreckage	heaps		3	3	4						100	143	960		tree1reclamate													1				0		3x3b		smudge01		
Corpses\core_heaps.corarad_heap	All Worlds	Wreckage	heaps		3	3	4						100	17	40		tree1reclamate													1				0		3x3c		smudge01		
Corpses\core_heaps.corasp_heap	All Worlds	Wreckage	heaps		4	4	4						100	172	552		tree1reclamate													1				0		4x4c		smudge01		
Corpses\core_heaps.coravp_heap	All Worlds	Wreckage	heaps		6	6	4						100	779	2060		tree1reclamate													1				0		6x6c		smudge01		
Corpses\core_heaps.corbuild_heap	All Worlds	Wreckage	heaps		5	5	4						100	1672	24000		tree1reclamate													1				0		5x5c		smudge01		
Corpses\core_heaps.corcan_heap	All Worlds	Wreckage	heaps		2	2	4						100	168	2240		tree1reclamate													1				0		2x2f		smudge01		
Corpses\core_heaps.corck_heap	All Worlds	Wreckage	heaps		2	2	4						100	52	568		tree1reclamate													1				0		2x2f		smudge01		
Corpses\core_heaps.corcrash_heap	All Worlds	Wreckage	heaps		2	2	4						100	56	496		tree1reclamate													1				0		2x2a		smudge01		
Corpses\core_heaps.corcv_heap	All Worlds	Wreckage	heaps		3	3	4						100	70	660		tree1reclamate													1				0		3x3d		smudge01		
Corpses\core_heaps.cordoom_heap	All Worlds	Wreckage	heaps		3	3	4						100	856	2512		tree1reclamate													1				0		3x3e		smudge01		
Corpses\core_heaps.corestor_heap	All Worlds	Wreckage	heaps		4	4	4						100	100	856		tree1reclamate													1				0		4x4a		smudge01		
Corpses\core_heaps.coreter_heap	All Worlds	Wreckage	heaps		3	3	4						100	40	416		tree1reclamate													1				0		3x3f		smudge01		
Corpses\core_heaps.corfav_heap	All Worlds	Wreckage	heaps		2	2	4						100	15	67		tree1reclamate													1				0		2x2b		smudge01		
Corpses\core_heaps.corfink_heap	All Worlds	Wreckage	heaps		2	2	4						100	21	72		tree1reclamate													1				0		2x2d		smudge01		
Corpses\core_heaps.corfmd_heap	All Worlds	Wreckage	heaps		5	5	4						100	496	624		tree1reclamate													1				0		5x5d		smudge01		
Corpses\core_heaps.corfus_heap	All Worlds	Wreckage	heaps		5	5	4						100	2002	2400		tree1reclamate													1				0		5x5d		smudge01		
Corpses\core_heaps.corgate_heap	All Worlds	Wreckage	heaps		2	2	4						100	78994	1975		tree1reclamate													1				0		2x2e		smudge01		
Corpses\core_heaps.corgator_heap	All Worlds	Wreckage	heaps		2	2	4						100	44	522		tree1reclamate													1				0		2x2f		smudge01		
Corpses\core_heaps.corgeo_heap	All Worlds	Wreckage	heaps		4	4	4						100	202	744		tree1reclamate													1				0		4x4b		smudge01		
Corpses\core_heaps.corgol_heap	All Worlds	Wreckage	heaps		4	4	4						100	279	2276		tree1reclamate													1				0		4x4c		smudge01		
Corpses\core_heaps.corhlt_heap	All Worlds	Wreckage	heaps		3	3	4						100	236	950		tree1reclamate													1				0		3x3a		smudge01		
Corpses\core_heaps.corhurc_heap	All Worlds	Wreckage	heaps		3	3	4						100	81	240		tree1reclamate													1				0		3x3b		smudge01		
Corpses\core_heaps.corint_heap	All Worlds	Wreckage	heaps		3	3	4						100	2133	1520		tree1reclamate													1				0		3x3c		smudge01		
Corpses\core_heaps.corlab_heap	All Worlds	Wreckage	heaps		6	6	4						100	272	2080		tree1reclamate													1				0		6x6b		smudge01		
Corpses\core_heaps.corllt_heap	All Worlds	Wreckage	heaps		2	2	4						100	107	568		tree1reclamate													1				0		2x2a		smudge01		
Corpses\core_heaps.cormakr_heap	All Worlds	Wreckage	heaps		3	3	4						100	0	120		tree1reclamate													1				0		3x3d		smudge01		
Corpses\core_heaps.cormart_heap	All Worlds	Wreckage	heaps		2	2	4						100	100	480		tree1reclamate													1				0		2x2b		smudge01		
Corpses\core_heaps.cormex_heap	All Worlds	Wreckage	heaps		3	3	4						100	20	140		tree1reclamate													1				0		3x3e		smudge01		
Corpses\core_heaps.cormist_heap	All Worlds	Wreckage	heaps		3	3	4						100	57	794		tree1reclamate													1				0		3x3f		smudge01		
Corpses\core_heaps.cormoho_heap	All Worlds	Wreckage	heaps		5	5	4						100	580	1172		tree1reclamate													1				0		5x5a		smudge01		
Corpses\core_heaps.cormstor_heap	All Worlds	Wreckage	heaps		5	5	4						100	128	1045		tree1reclamate													1				0		5x5a		smudge01		
Corpses\core_heaps.corpun_heap	All Worlds	Wreckage	heaps		4	3	4						100	755	2352		tree1reclamate													1				0		3x3b		smudge01		
Corpses\core_heaps.corpyro_heap	All Worlds	Wreckage	heaps		2	2	4						100	104	560		tree1reclamate													1				0		2x2c		smudge01		
Corpses\core_heaps.corrad_heap	All Worlds	Wreckage	heaps		2	2	4						100	8	41		tree1reclamate													1				0		2x2d		smudge01		
Corpses\core_heaps.corraid_heap	All Worlds	Wreckage	heaps		2	2	4						100	68	846		tree1reclamate													1				0		2x2e		smudge01		
Corpses\core_heaps.correap_heap	All Worlds	Wreckage	heaps		3	3	4						100	189	1611		tree1reclamate													1				0		3x3c		smudge01		
Corpses\core_heaps.corrl_heap	All Worlds	Wreckage	heaps		3	3	4						100	31	240		tree1reclamate													1				0		3x3d		smudge01		
Corpses\core_heaps.corroach_heap	All Worlds	Wreckage	heaps		1	1	4						100	26	156		tree1reclamate													1				0		1x1c		smudge01		
Corpses\core_heaps.corseal_heap	All Worlds	Wreckage	heaps		3	3	4						100	118	915		tree1reclamate													1				0		3x3e		smudge01		
Corpses\core_heaps.corshad_heap	All Worlds	Wreckage	heaps		3	3	4						100	80	240		tree1reclamate													1				0		3x3f		smudge01		
Corpses\core_heaps.corsilo_heap	All Worlds	Wreckage	heaps		3	3	4						100	390	2048		tree1reclamate													1				0		3x3a		smudge01		
Corpses\core_heaps.corsolar_heap	All Worlds	Wreckage	heaps		5	5	4						100	58	261		tree1reclamate													1				0		5x5c		smudge01		
Corpses\core_heaps.corspec_heap	All Worlds	Wreckage	heaps		2	2	4						100	24	144		tree1reclamate													1				0		2x2b		smudge01		
Corpses\core_heaps.corstorm_heap	All Worlds	Wreckage	heaps		2	2	4						100	52	592		tree1reclamate													1				0		2x2c		smudge01		
Corpses\core_heaps.corthud_heap	All Worlds	Wreckage	heaps		2	2	4						100	59	640		tree1reclamate													1				0		2x2d		smudge01		
Corpses\core_heaps.cortitan_heap	All Worlds	Wreckage	heaps		4	4	4						100	63	160		tree1reclamate													1				0		4x4f		smudge01		
Corpses\core_heaps.cortruck_heap	All Worlds	Wreckage	heaps		2	2	4						100	109	24000		tree1reclamate													1				0		2x2d		smudge01		
Corpses\core_heaps.corvalk_heap	All Worlds	Wreckage	heaps		3	3	4						100	47	120		tree1reclamate													1				0		3x3c		smudge01		
Corpses\core_heaps.corvamp_heap	All Worlds	Wreckage	heaps		3	3	4						100	87	400		tree1reclamate													1				0		3x3d		smudge01		
Corpses\core_heaps.corveng_heap	All Worlds	Wreckage	heaps		2	2	4						100	63	160		tree1reclamate													1				0		2x2e		smudge01		
Corpses\core_heaps.corvp_heap	All Worlds	Wreckage	heaps		7	7	4						100	240	2040		tree1reclamate													1				0		7x7b		smudge01		
Corpses\core_heaps.corvrad_heap	All Worlds	Wreckage	heaps		2	2	4						100	36	400		tree1reclamate													1				0		2x2f		smudge01		
Corpses\core_heaps.corvroc_heap	All Worlds	Wreckage	heaps		3	3	4						100	171	482		tree1reclamate													1				0		3x3e		smudge01		
Corpses\core_heaps.corwin_heap	All Worlds	Wreckage	heaps		4	4	4						100	22	1430		tree1reclamate													1				0		4x4a		smudge01		
Corpses\Corfhlt_dead.Corfhlt_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	446	1108		tree1reclamate													1				1		Corfhlt_dead		smudge01		
Corpses\corflak_dead.corflak_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	855	1219		tree1reclamate											corflak_heap		1				1		corflak_dead		smudge01		
Corpses\corflak_dead.corflak_heap	All Worlds	Wreckage	heaps		3	3	4						100	428	610		tree1reclamate													1				0		3x3d		smudge01		
Corpses\Corfmkr_dead.corfmkr_dead	All Worlds	Wreckage	core_corpses		3	3	20						100		88		tree1reclamate													1				1		corfmkr_dead		smudge01		
Corpses\Corfrt_dead.corfrt_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	57	232		tree1reclamate													1				1		corfrt_dead		smudge01		
Corpses\corhrk_dead.corhrk_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	301	950		tree1reclamate											corhrk_heap		1				1		corhrk_dead		smudge01		
Corpses\corhrk_dead.corhrk_heap	All Worlds	Wreckage	heaps		2	2	4						100	122	240		tree1reclamate													1				0		2x2b		smudge01		
Corpses\Corlevlr_dead.corlevlr_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	233	300		tree1reclamate											corlevlr_heap		1				1		corlevlr_dead		smudge01		
Corpses\Corlevlr_dead.corlevlr_heap	All Worlds	Wreckage	heaps		2	2	4						100	116	150		tree1reclamate													1				0		2x2b		smudge01		
Corpses\Cormort_dead.cormort_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	257	736		tree1reclamate											cormort_heap		1				1		cormort_dead		smudge01		
Corpses\Cormort_dead.cormort_heap	All Worlds	Wreckage	heaps		2	2	4						100	129	368															1				0		2x2a				
Corpses\Corsent_dead.corsent_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	709	2280		tree1reclamate											corsent_heap		1				1		corsent_dead		smudge01		
Corpses\Corsent_dead.corsent_heap	All Worlds	Wreckage	heaps		2	2	4						100	354	1240		tree1reclamate													1				0		2x2a		smudge01		
Corpses\Corsjam_dead.Corsjam_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	108	456		tree1reclamate													1				1		Corsjam_dead		smudge01		
Corpses\Corssub_dead.corssub_dead	All Worlds	Wreckage	core_corpses		3	3	4						100	1652	794		tree1reclamate													1				0		corssub_dead		smudge01		
Corpses\Corsumo_dead.corsumo_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	674	3280		tree1reclamate											corsumo_heap		1				1		corsumo_dead		smudge01		
Corpses\Corsumo_dead.corsumo_heap	All Worlds	Wreckage	heaps		3	3	4						100	417	2140		tree1reclamate													1				0		3x3a		smudge01		
Corpses\Cortoast_dead.cortoast_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	1160	1172		tree1reclamate											cortoast_dead2		1				1		cortoast_dead		smudge01		
Corpses\Cortoast_dead.cortoast_dead2	All Worlds	Wreckage	core_corpses		2	2	20						100	1160	1172		tree1reclamate											cortoast_heap		1				1		cortoast_dead2		smudge01		
Corpses\Cortoast_dead.cortoast_heap	All Worlds	Wreckage	heaps		2	2	4						100	580	1172															1				0		2x2a				
Corpses\CORTRON_dead.cortron_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	1366	2048		tree1reclamate											cortron_heap		1				1		cortron_dead		smudge01		
Corpses\CORTRON_dead.cortron_heap	All Worlds	Wreckage	heaps		3	3	4						100	683	2048		tree1reclamate													1				0		3x3a		smudge01		
Corpses\Corvoyr_dead.corvoyr_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	74	280		tree1reclamate											corvoyr_heap		1				1		corvoyr_dead		smudge01		
Corpses\Corvoyr_dead.corvoyr_heap	All Worlds	Wreckage	heaps		2	2	4						100	37	140		tree1reclamate													1				0		2x2a		smudge01		
