	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Canfly	cruisealt	Scale	BankScale	Builddistance	CanReclamate	EnergyMake	MetalMake	DefaultMissionType	maneuverleashlength	MovementClass	Upright	standingmoveorder	buildangle	canattack	Weapon1	downloadable	wpri_badTargetCategory	BadTargetCategory	digger	DamageModifier	antiweapons	ActivateWhenBuilt	onoffable	RadarDistanceJam	sortbias	IsAirBase	MinWaterDepth	WaterLine	NoShadow	TransMaxUnits	canload	transportsize	transportcapacity	ai_limit	altfromsealevel	NoChaseCategory	Weapon2	wsec_badTargetCategory	Floater	HoverAttack	CloakCost	SonarDistance	Weapon3	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	norestrict	Commander	ShowPlayerName	mincloakdistance	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	maxwaterdepth	ai_weight	noshadow	Waterline	Buildangle	MakesMetal	teleporter	Stealth	Spanishdescription	Italiandescription	ExtractsMetal	attackrunlength	TidalGenerator	kamikaze	kamikazedistance	Downloadable	WindGenerator	MobileStandOrders	weapon1	BuildAngle	OVRadjust	waterline	upright	ovradjust	cantbetransported	transportmaxunits	PitchScale	MoveRate2
ARMFHLT.UNITINFO	ARMFHLT	1.2	ARM	ARMFHLT	ARM-FHL	Stingray	Floating Heavy Laser Tower	4	4	5796	524	1325			0.1	10178	0	0	0	1	1	0	380	0	ARM_KBOT	200	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armfhlt_dead	Stingray	Schwimmender Schwerer Laser	177	Stingray	Tourelle laser lourde NAVY	1	2					1	Stingray	Torre láser pesada-Serie Naval	Stingray	Torretta Laser pesante galleggiante								1									GUARD_NOMOVE					16384	1	ARMFHLT_LASER	1	VTOL	VTOL				1					2	3	1					limit ARMFHLT 6																																																				
ARMFIDO.UNITINFO	ARMFIDO	1	ARM	ARMFIDO	ARM-KG	Fido	Assault Kbot	2	2	3556	398	1000	12	14	0.8	10827	0	1	0	1	1	0	245	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armfido_dead	Fido	Gefechts-Kbot	30	Fido	Kbot d'assaut	1	2	1	1	1	1	1	Fido	Kbot de asalto	Fido	Kbot da assalto	1	1	1.75	0.3	0.1	900	2	1							0.8		Standby	640	TANKSH2	0			1	GAUSS		VTOL	VTOL																		VTOL																																																		
ARMFIG.UNITINFO	ARMFIG	1	ARM	ARMFIG	AFD-J9	Freedom Fighter	Fighter	2	2	3234	99	196	0	10	0.7	9182	0	1		1	1	0	350	0	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Freedom Fighter	Jäger	31	Libérator	Chasseur	1	2	1	1	1	1	1	Freedom Fighter	Caza	Freedom Fighter	Caccia	1	1	10	6	0.35	512	1	1	1	110		1			0.7		VTOL_standby	1280					1	ARMVTOL_MISSILE		NOTAIR	NOTAIR																								0																8	255																											
ARMFLAK.UNITINFO	ARMFLAK	1.2	ARM	ARMFLAK	ARM-AAHE	Flakker	Anti-Air Flak Gun	2	2	17425	1069	1524	0	10	0	38010	0	0	0	1	1	0	350	0	GUARD	0	0	LARGE_BUILDINGEX	MEDIUM_BUILDING	ARM LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armflak_dead	Flakker	Flak	160	Casseur	Canon antiaérien	1	2					1	Flakker	Arma de fuego antiaéreo	Flakker	Cannone per bersagli aerei								1									GUARD_NOMOVE					8192	1	ARMFLAK_GUN	1	NOTAIR	NOTAIR																limit ARMFLAK 20																										weight ARMFLAK 0.5																										
ARMFLASH.UNITINFO	ARMFLASH	1	ARM	ARMFLASH	FAT3	Flash	Fast Assault Tank	2	2	870	106	625	12	10	0.5	1676	0	1	0	1	1	0	225	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armflash_dead	Flash	Schneller Gefechtspanzer	32	Foudrax	Char d'assaut rapide	1	2	1	1	1	1	1	Flash	Tanque de asalto rápido	Flash	Carro armato veloce da assalto	1	1	2	0.02	0.017	475	1	1							0.5		Standby	640	TANKSH2				1	EMG		VTOL	VTOL																		VTOL																																																		
ARMFMKR.UNITINFO	ARMFMKR	1.2	ARM	ARMFMKR	ARM-MRJ	Floating Metal Maker	Floating Metal Maker	3	3	1480		110	0	10	60	2958	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	w		Schwimmschmelze	Schwimmende Metallherstellung	178	Métallo flottant	Convertisseur d'énergie en métal flottant								Productor de Metal - SN	Produce metal	Generatore di Metallo - SN	Fabbrica metalli																									1						1	1				11																																		1	4	8192	1																						
ARMFORT.UNITINFO	ARMFORT	1.2	ARM	ARMFORT	A-102-C	Fortification Wall	Perimeter Defense	2	2	675	27	2000	0	8	0	965	0	0	0	1	1	0	100	0	NONE	0	0			ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	fortification	Befestigung	Befestigungsmauern	167	Mur de fortification	Périmètre de défense								Defensa	Defensa de perímetro	Fortificazioni	Mura fortificate															0							0			1																																						1																																
ARMFRT.UNITINFO	ARMFRT	1.2	ARM	ARMFRT	AS-TDS	Defender - NS	Missile Tower - Naval Series	4	4	987	71	252			0.1	2163	0	0	0	1	1	0	360	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armfrt_dead	Defender-NS	Raketenturm - Marineeinheit	158	Défensor NAVY	Tourelle lance-missiles NAVY	1	2					1	Defender-SN	Torre Lanzamisiles-Serie Naval	Defender-SN	Torretta missilistica - Sezione Navale								1									GUARD_NOMOVE					16384	1	ARMRL_MISSILE	1	NOTAIR	NOTAIR				1					2	0.3	1																																																									
ARMFUS.UNITINFO	ARMFUS	1	ARM	ARMFUS	AE-FPF	Fusion Reactor	Produces Energy	5	4	36058	5130	3100	0	10	0	93768	0	0	0	1	1	0	210	0	ARM_FUS	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	ARM ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooooooo	armfus_dead	Fusionreaktor	Liefert Energie	33	Réacteur nucléaire	Produit de l'énergie								Reactor de Fusión	Genera energía	Reattore a Fusione	Produce energia	1														1000							4096									1																																																																
ARMGATE.UNITINFO	ARMGATE	1	ARM	ARMGATE	ARM-GG	Galactic Gate	Space Teleporter	4	4	1865294	213965	2876	0	10	3000	3742578	0	0	0	1	1	0	210	0	GATE	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM SPECIAL NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armgate_dead	Galaxistor	Weltraum-Teleporter	34	Téléporteur	Téléporteur spatial								Puerta Galáctica	Teletransportador espacial	Cancello Galattico	Teletrasporto spaziale	1																					2048																																					1															1																					
ARMGEO.UNITINFO	ARMGEO	1	ARM	ARMGEO	AE-GPG	Geothermal Powerplant	Produces Energy	4	4	9568	520	880	0	10	0	13078	0	0	0	1	1	0	210	0	ARM_GEO	0	0	LARGE_BUILDINGEX	NUCLEAR_MISSILE	ARM ENERGY LEVEL2 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	GGGGGGGGGGGGGGGG	armgeo_dead	Geotherm. Kraftwerk	Liefert Energie	35	Centrale géothermique	Produit de l'énergie								Planta Geotérmica	Genera energía	Stabilimento Geotermico	Produce energia	1														250							2048									1																																																																
ARMGUARD.UNITINFO	ARMGUARD	1	ARM	ARMGUARD	ARM-GUARD	Guardian	Plasma Battery	3	3	7687	1946	2477	0	10	0	13377	0	0	0	1	1	0	350	0	GUARD	200	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM LEVEL2 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armguard_dead	Guardian	Stationäre Plasmawerfer-Batterie	36	Gardian	Batterie à plasma stationnaire	1	2					1	Guardian	Cañón de plasma pesado	Guardian	Batteria al plasma	1							1									GUARD_NOMOVE					8192	1	ARMFIXED_GUN		VTOL	VTOL																																																																				
ARMHAM.UNITINFO	ARMHAM	1	ARM	ARMHAM	ARM-KA	Hammer	Artillery Kbot	2	2	1187	151	800	12	14	0.6	2340	0	1	0	1	1	0	250	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armham_dead	Hammer	Artillerie-Kbot	37	Massue	Artillerie Kbot	1	2	1	1	1	1	1	Hammer	Kbot de artillería	Hammer	Kbot da artilglieria	1	1	1.1	0.183105469	0.1	995	2	1							0.6		Standby	640	TANKSH2	1			1	ARM_HAM		VTOL	VTOL																		VTOL																																																		
ARMHAWK.UNITINFO	ARMHAWK	1	ARM	ARMHAWK	AFD-J9	Hawk	Stealth Fighter	2	2	6893	254	510	0	10	20	15285		1		1	1		350	0	ARM_VTOL			BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON STEALTH  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Hawk	Stealth-Jäger	38	Vautour	Chasseur furtif	1	2	1	1	1	1	1	Hawk	Caza antirradar	Hawk	Caccia Stealth	1	1	12	9	0.45	820	1	1	1	160		1			20		VTOL_standby	1280					1	ARMVTOL_ADVMISSILE		NOTAIR	NOTAIR																			ARMVTOL_ADVMISSILE2	NOTAIR																				8								1																				
ARMHLT.UNITINFO	ARMHLT	1	ARM	ARMHLT	ARM-HLT	Sentinel	Heavy Laser Tower	2	2	5398	584	1230	0	10	0	9575	0	0	0	1	1	0	380	0	HLT	200	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM defensive weapon level2 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armhlt_dead	Tenderizer	Schwerer Laserturm	39	Mutilator	Tourelle laser lourde	1	2					1	Sentinel	Torre láser pesada	Sentinel	Torretta laser pesante	1							1									GUARD_NOMOVE					8192	1	ARM_LASERH1		VTOL	VTOL																																																																				
ARMJAM.UNITINFO	ARMJAM	1	ARM	ARMJAM	ARM-MRJ	Jammer	Mobile Radar Jammer	2	2	1621	97	460	0	16	16	5933	0	1	0	1	1	0	240		ARM_JAM	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armjam_dead	Jammer	Mobiler Radarstörer	40	Escorteur	Brouilleur de radar			1	1	1	1	1	Jammer	Distorsionador móvil de radar	Disturbatore	Crea interferenze radar - mobile	1	1	1	0.012	0.035	505	1	1							16		Standby	640	TANKSH2												1	1	400																																																														
ARMJETH.UNITINFO	ARMJETH	1	ARM	ARMJETH	ARM-KML	Jethro	Anti-Air Kbot	2	2	1219	128	470	12	14	0.4	2631	0	1	0	1	1	0	290	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armjeth_dead	Jethro	Luftabwehr-Kbot	41	Jethro	Kbot antiaérien	1	2	1	1	1	1	1	Jethro	Kbot lanzamisil antiaéreo	Jethro	Kbot lanciamissili terra-aria	1	1	1.4	0.15	0.1	1016	2	1							0.4		Standby	640	TANKSH2	1			1	ARMKBOT_MISSILE		NOTAIR	NOTAIR																																																																				
ARMLAB.UNITINFO	ARMLAB	1	ARM	ARMLAB	ARM-KL	Kbot Lab	Produces Kbots	6	6	1130	705	2690	0	10	0	6760	100	0	1	1	1	0	223	0	KBOTPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	yoccoy ooccoo ooccoo ooccoo ooccoo yoccoy	armlab_dead	Kbot-Labor	Tech Level 1	42	Labo de Kbots 	Niveau Tech 1	1		1	1	1	1	1	Laboratorio Kbot	Produce Kbots	Laboratorio Kbot	Produce Kbot	1										0.75											4096																																																																									
ARMLANCE.UNITINFO	ARMLANCE	1	ARM	ARMLANCE	AFD-J9	Lancet	Torpedo Bomber	3	3	6438	378	370	0	10	1.5	14096	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON TORP  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Lancet	Torpedo-Bomber	43	Javelot	Bombardier torpilleur	1	0	1	1	1	1	1	Lancet	Bombardero torpedero	Lancet	Bombardiere lancia-torpedini	1	1	9.7	6	0.2	420	1	1	1	150		1			1.5		VTOL_standby	1280					1	ARMAIR_TORPEDO																																											8	255																											
ARMLATNK.UNITINFO	ARMLATNK	1.2	ARM	ARMLATNK	ARM-LAA2	Panther	Lightning Tank	2	2	3830	354	1100	12	10	1.5	9676	0	1	0	1	1	0	255	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armlatnk_dead	Panther	Blitzpanzer	261	Panther	Char d'assaut	1	2	1	1	1	1	1	Panther	Tanque de asalto	Panther	Carro armato da assalto		1	1.3	0.02	0.07	475	1	1							1.5		Standby	640	TANKSH2				1	armlatnk_weapon	1																				VTOL	armkbot_missile	NOTAIR																																																
ARMLLT.UNITINFO	ARMLLT	1	ARM	ARMLLT	ARM-LDT	L.L.T.	Light Laser Tower	2	2	2546	262	750	0	14	0	4662	0	0	0	1	1	0	380	0	LLT	100	0	MEDIUM_BUILDINGEX	MEDIUM_BUILDING	ARM defensive weapon level1 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armllt_dead	L.L.T.	Leichter Laserturm	44	Laserator	Tourelle laser  	1	2					1	L.L.T.	Torre Láser Ligera	L.L.T.	Torretta laser leggera	1							1									GUARD_NOMOVE					32768	1	ARM_LIGHTLASER		VTOL	VTOL																																																																				
ARMMAKR.UNITINFO	ARMMAKR	1	ARM	ARMMAKR	AEM-EMM	Metal Maker	Converts Energy into Metal	3	3	687	0	144	0	10	60	2605	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armmakr_dead	Metallgenerator	Wandelt Energie in Metall um	45	Métallo	Convertit l'énergie en métal								Productor de Metal	Transforma energía en metal	Generatore di Metallo	Converte energia in metallo	1																					8192			1				0.5		1	1																																									1																						
ARMMANNI.UNITINFO	ARMMANNI	1.2	ARM	ARMMANNI	ARM-HA8	Penetrator	Mobile Energy Weapon	3	3	17477	2604	650	0	12	5.2	35706	0	1	0	1	1	0	260	0	ARM_TANK	0	0	CRAWL_BLASTSML	ATOMIC_BLAST	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmanni_dead	Penetrator	Mobiler Energiewerfer	269	Pénétrator	Canon à énergie mobile	1	2	1	1	1	1	1	Penetrador	Arma de energía móvil	Penetrator	Arma mobile a energia		1	.6	0.07	0.01	170	1	1							5.2		Standby	640	TANKSH3				1	ARMMANNI_WEAPON	1	VTOL	VTOL																		VTOL																																																		
ARMMARK.UNITINFO	ARMMARK	1.2	ARM	ARMMARK	ARM-MRB	Marky	Mobile Radar Kbot	2	2	1152	95	320	0	16	15	3800	0	1	0	1	1	0	240	1250	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT NOWEAPON LEVEL2 NOTAIR NOTSUB CTRL_R	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armmark_dead	Marker	Mobiler Radar-KBot	168	Marker	Radar KBot			1	1	1	1	1	Marker		Marker			1	0.94	0.018	0.045	505	1	1							15		Standby	640	TANKSH2						1						1	1											limit ARMMARK 2																																	Radar KBot	KBot radar mobile:																		
ARMMART.UNITINFO	ARMMART	1	ARM	ARMMART	ARM-MRA	Luger	Mobile Artillery	3	3	2140	264	525	0	12	0.4	4530	0	1	0	1	1	0	220	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmart_dead	Luger	Mobile Artillerie	46	Dislocator	Artillerie mobile	1	2	1	1	1	1	1	Luger	Artillería móvil	Luger	Artiglieria mobile	1	1	1	0.01	0.01	350	1	1							0.4		Standby	640	TANKSH3				1	ARM_ARTILLERY		VTOL	VTOL																		VTOL																																																		
ARMMERL.UNITINFO	ARMMERL	1	ARM	ARMMERL	ARM-MRL	Merl	Mobile Rocket Launcher	3	3	2746	462	540	12	16	0.5	8592	0	1	0	1	1	0	230	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armmerl_dead	Merl	Mobiler Raketen-Werfer	47	Faucon	Lance-roquettes mobile	1	2	1	1	1	1	1	Merl	Lanzacohetes móvil	Merl	Lanciarazzi mobile	1	1	1.2	0.027	0.015	430	1	1							0.5		Standby	640	TANKSH3				1	ARMTRUCK_ROCKET		VTOL	VTOL																		VTOL																																																		
ARMMEX.UNITINFO	ARMMEX	1	ARM	ARMMEX	AM-BME1	Metal Extractor	Extracts Metal	3	3	521	50	170	0	10	3	1800	0	0	0	1	1	0	210	0	ARM_MEX	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal extractor level1 NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armmex_dead	Metallextraktor	Gewinnt Metall	48	Extracteur	Extrait du métal								Extractor de Metal	Extrae metal	Estrattore di Metallo	Estrae metallo	1																					8192									1	1																																														0.001																	
ARMMMKR.UNITINFO	ARMMMKR	1.2	ARM	ARMMMKR	AEM-MEM	Moho Metal Maker	Converts Energy into Metal	4	4	9350	58	400	0	10	800	34980	0	0	0	1	1	0	210	0	ARM_MAKER	0	0	BIG_BUILDINGEX	BIG_BUILDING	ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooo ooo ooo	armmmkr_dead	Moho-Metallschmelze	Metallgewinnung	268	Métallo avançé	Convertisseur d'énergie en métal avançée								Productor de Metal Moho	Complejo de producción de metal	Crea-Metalli Moho	Complesso per la creazione di metalli																						8192			1						1	1																																									16																						
ARMMOHO.UNITINFO	ARMMOHO	1	ARM	ARMMOHO	AM-MME	Moho Mine	Advanced Metal Extractor	5	5	8700	1508	1573	0	10	15	35750	0	0	0	1	1	0	210	0	ARM_MOHO	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal extractor level3 NOWEAPON NOTAIR NOTSUB 	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooo	armmoho_dead	Moho-Mine	Verbesserter Metallextractor	49	Mine Moho	Extracteur de métal évolué								Mina Moho	Extractor avanzado de metal	Estrattore Moho	Estrattore di metallo avanzato	1																					2048									1	1																																														0.003																	
ARMMSHIP.UNITINFO	ARMMSHIP	1	ARM	ARMMSHIP	ASD-SM	Ranger	Missile Ship	6	6	7804	2348	1200			0.8	22317	0	1	0	1	1	0	245	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armmship_dead	Ranger	Raketenkreuzer	50	Ranger	Navire lance-missiles	1	2	1	1	1	1	1	Ranger	Buque Lanzamisiles	Ranger	Nave lanciamissili	1	1	1	0.022	0.01	134	1	1							0.8		Standby	640	BOATD6				1	ARMMSHIP_ROCKET												12										ARMSHIP_MISSILE	NOTAIR	1																																															
ARMMSTOR.UNITINFO	ARMMSTOR	1	ARM	ARMMSTOR	AM-MSF	Metal Storage	Increases Metal Storage	4	4	535	305	1329	0	10	0	2925	0	0	0	1	1	0	210	0	ARM_MSTOR	0	1000	SMALL_BUILDINGEX	SMALL_BUILDING	ARM METAL LEVEL1 NOWEAPON  NOTAIR NOTSUB STORAGE	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooo	armmstor_dead	Metallspeicher	Vergrößert Lager für Metallvorräte	51	Dépôt de métal	Augmente le stockage de métal								Almacén de Metal	Incrementa capacidad de alm. metal	Deposito di Metallo	Aumenta l'immagazzinamento del metallo	1																					4096									1																																																																
ARMPEEP.UNITINFO	ARMPEEP	1	ARM	ARMPEEP	AFD-S1	Peeper	Air Scout	2	2	1475	40.28	80	0	10	0.2	2585	0	1	0	1	1	0	350	700	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 NOWEAPON NOTSUB 	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Peeper	Luftaufklärer	52	Voyeur	Avion de reconnaissance			1	1	1	1	1	Peeper	Avión de reconocimiento	Peeper	Unità di ricognizione aerea	1	1	12	9	0.5	800	1	1	1	180		1			0.2		VTOL_standby	1280																																																																													
ARMPNIX.UNITINFO	ARMPNIX	1	ARM	ARMPNIX	AFD-HAB	Phoenix	Bomber	3	3	7624	209	470	0	10	1.8	16064	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON BOMB NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Phoenix	Strategischer Bomber	53	Phénix	Bombardier stratégique	1	2	1	1	1	1	1	Phoenix	Bombardero	Phoenix	Bombardiere	1	1	9.5	4	0.06	365	1	1	1	220	1	1			1.8		VTOL_standby	1280					1	ARMADVBOMB																				1	UNDERWATER	ARMAIR2AIRLASER	NOTAIR																																180																
ARMPT.UNITINFO	ARMPT	1	ARM	ARMPT	ASD-SS	Skeeter	Scout Ship	4	4	985	100	560			0.2	2062	0	1	0	1	1	0	280	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armpt_dead	Skeeter	Aufklärer	54	Palombe	Vedette de reconnaissance	1	2	1	1	1	1	1	Skeeter	Motora de reconocimiento	Skeeter	Nave di ricognizione	1	1	3.8	0.02	0.1	511	1	1							0.2		Standby	640	BOATS4				1	ARMPT_LASER												6										ARMKBOT_MISSILE	NOTAIR	1			0																																												
ARMPW.UNITINFO	ARMPW	1	ARM	ARMPW	ARM-KI	Peewee	Infantry Kbot	2	2	697	53	250	12	17	0.3	1452	0	1	0	1	1	0	280	0	ARMPW	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armpw_dead	Peewee	Infantrie-Kbot	55	Peewee	Infanterie Kbot	1	2	1	1	1	1	1	Peewee	Kbot de infantería	Peewee	Kbot da fanteria	1	1	1.8	0.19	0.1	1120	2	1							0.3		Standby	640	TANKSH2	1			1	EMG		VTOL	VTOL																		VTOL																																																		
ARMRAD.UNITINFO	ARMRAD	1	ARM	ARMRAD	AS-EWDL	Radar Tower	Radar Tower	2	2	750	49	51	0	10	5	1137	0	0	0	1	1	0	350	1440	ARM_RADAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL RAD LEVEL1 NOTAIR NOTSUB CTRL_R	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armrad_dead	Radarturm	Tech Level 2	56	Tour radar  	Niveau Tech 1								Torre de Radar 	Torre de Radar 	Torre Radar	Torretta radar	1														5							8192									1	1																																																															
ARMRL.UNITINFO	ARMRL	1	ARM	ARMRL	ARM-SRDS	Defender	Missile Tower	3	3	843	79	295	0	20	0	1843	0	0	0	1	1	0	350	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM SPECIAL LEVEL2 WEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armrl_dead	Defender	Raketenturm	57	Défensor	Tourelle lance-missiles	1	2					1	Defender	Torre Lanzamisiles	Defender	Torretta missilistica	1							1									GUARD_NOMOVE						1	ARMRL_MISSILE		NOTAIR	NOTAIR																																																																				
ARMROCK.UNITINFO	ARMROCK	1	ARM	ARMROCK	ARM-KRL	Rocko	Rocket Kbot	2	2	964	117	610	12	14	0.6	1946	0	1	0	1	1	0	260	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armrock_dead	Rocko	Raketen-Kbot	58	Rockett	Kbot lance-roquettes	1	2	1	1	1	1	1	Rocko	Kbot Lanzacohetes	Rocko	Kbot lanciarazzi	1	1	1.2	0.15	0.1	1005	2	1							0.6		Standby	640	TANKSH2	1			1	KBOT_ROCKET		VTOL	VTOL																		VTOL																																																		
